time,text
7.5," The tenth time I've peed since I've been here. It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear."
8.5," The tenth time I've peed since I've been here. It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder."
9.5," The tenth time I've peed since I've been here. It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder."
10.5," The tenth time I've peed since I've been here. It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder."
11.5," The tenth time I've peed since I've been here. It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder."
12.5," The tenth time I've peed since I've been here. It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder."
13.5," The tenth time I've peed since I've been here. It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder."
14.5," The tenth time I've peed since I've been here. It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder."
15.5,"It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder. So sick of being pregnant."
16.5,"It's also like the tenth time you've told us. Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder. So sick of being pregnant."
17.5,"Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder. So sick of being pregnant."
18.5,"Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder. So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant."
19.5,"Yeah, oh, I'm sorry, it must be really hard to hear. I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder. So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant."
20.5,"I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder. So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant."
21.5,"I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder. So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant."
22.5,"I'll tell you, it's a lot easier having three babies playing bring it into noise, bring it into funk on your bladder. So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant. Phoebes, you want a cookie?"
23.5,"So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant. Phoebes, you want a cookie?"
24.5,"So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant. Phoebes, you want a cookie?"
25.5,"So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant. Phoebes, you want a cookie?"
26.5,"So sick of being pregnant. The only happiness I get is from a cup of coffee, which of course is decaf, because, oh, I'm pregnant. Phoebes, you want a cookie?"
