start,end,text
2.557,3.458," Guys, hurry up."
3.498,4.699,The flight leaves in four hours.
4.719,5.899,They could take time to get a taxi.
5.919,6.68,There could be traffic.
6.94,7.841,The plane could leave early.
7.861,9.762,"When we get to London, there could be a line of customs."
9.822,12.644,Come on!
12.664,13.685,Six-hour trip to London.
14.545,15.506,That's a lot of Monica.
17.768,21.89,"Passport check, camera check, traveler's checks check."
22.211,23.772,What are you saying check to?
24.432,26.354,"Myself, you know, for remembering to pack the thing."
26.914,28.495,"Now you do a good thing, you get a check."
31.874,32.474, My mom does it.
32.895,33.915,I never realized it was weird.
34.175,35.656,"Hey, my mom used to put her head in the oven."
37.717,39.198,I asked if she only did it the one time.
39.718,40.778,But it's pretty weird.
43.74,44.08,Hey.
44.4,44.8,Hey.
44.9,45.321,Hey.
45.661,46.101,Are you ready?
46.121,47.121,"Yep, you got the tickets?"
47.141,48.122,"Oh, got them right here."
48.382,48.622,Check.
51.424,52.904,"It's all London, baby."
53.445,54.065,Here we go.
57.326,58.167,You got your passport?
59.406,60.447, My third drawer in my dresser.
60.467,62.708,You don't want to lose that.
66.95,67.591,"Oh, there it is."
118.325,121.227," Okay, if you need the vacuum, it's in my closet on the left-hand side."
121.587,123.549,The garbage bags are next to the refrigerator.
123.649,125.15,"Okay, but Rachel's gonna be here too."
125.19,126.451,Can I just ask her this stuff?
127.191,127.772,"Yeah, okay."
128.012,128.752,Give that a try.
130.854,131.874,"All right, let's do it."
131.954,133.195,"Yeah, cheerio."
133.275,134.216,"London, baby."
134.236,136.638,"Okay, because that's not gonna get annoying."
136.838,137.898,"London, baby!"
140.18,140.6,You know what?
140.72,141.301,I was wrong.
142.441,143.222," Well, we're all here."
143.242,144.663,I guess we should get going.
144.683,149.907,"Oh, I want to come over there and give you a hug and wish you luck on your wedding, but I can't get up."
150.307,151.288,"Oh, I'll come hug you."
151.308,151.688,"Great, yeah."
151.708,152.689,Can you bring me the newspaper?
152.709,156.392,That was great.
156.652,157.653,Thanks.
158.274,159.695,"Hey, Chandler, I want to hug you too."
159.795,160.135,Hey.
160.435,161.016,"Oh, and great."
161.056,162.137,You might as well bring me my book.
162.177,165.539,It's on the counter in your apartment.
165.68,166.06,Come on.
169.246,170.347, So we're off.
170.567,171.368,Have fun.
171.428,171.868,Thanks.
172.849,173.069,Oh.
173.77,175.992,I can't believe you're not going to be there.
176.232,176.813,"Oh, I know."
177.093,178.574,So come.
178.614,179.355,Why don't you come?
179.435,179.795,What?
179.895,180.456,To London.
180.576,181.256,Come to London.
181.376,181.817,Please.
181.897,183.178,It means so much to me.
183.198,183.278,Yeah.
183.338,184.679,I've got to work.
184.739,185.42,I'm sorry.
185.52,187.522,"Oh, why can't you take a couple of days off?"
187.602,188.883,"Because I can't, Rosie."
188.943,189.463,I told you.
189.543,190.084,"No, I can't."
190.985,191.745,This is my wedding.
191.765,193.267,All right.
193.287,193.587,You know what?
193.647,194.428,Now we really are late.
194.448,194.788,Let's go.
194.808,195.128,Let's go.
195.148,195.549,Let's go.
198.919,201.12," Fine, you're watching on video when we get back."
202.92,203.84,"Here you go, Phoebe."
203.94,204.801,"Here you go, Phobo."
204.941,206.261,"Phoobla, baby boo."
206.441,210.322,Thank you.
210.362,210.542,You.
210.622,213.543,"All right, let's go."
214.003,214.523,"Bye, Phoebe."
214.583,215.524,"Bye, Phoebe."
215.544,216.204,"Bye, Phoebe."
217.044,218.624,Goodbye.
218.744,220.005,Goodbye.
220.085,220.345,Bye.
220.385,221.585,"Love you, baby."
221.605,227.687,"Oh, do you need a hug?"
229.428,230.389, You don't have to bring me anything.
236.853,248.642,"Alright, Chandler, do something."
251.324,252.325,"Come on, do something."
252.625,253.025,I am.
253.145,253.826,I'm ignoring you.
255.384,255.804," Okay, here."
255.984,257.104,I'm gonna be the on-camera guy.
257.525,257.905,All right.
258.705,261.386,"First stop, Westminster Abbey."
